,Unnamed: 0,EWM
0,0.0,300.7406389899435
1,1.0,302.4747471937334
2,2.0,298.9382769386915
3,3.0,302.71666196142485
4,4.0,302.52699820845294
5,5.0,298.5970420925236
6,6.0,301.9418113647285
7,7.0,298.22883715578695
8,8.0,305.84411148602214
9,9.0,301.0267366369799
10,10.0,297.7578896782886
11,11.0,303.4077054505549
12,12.0,295.775154123609
13,13.0,299.8873803757194
14,14.0,300.12752738953566
15,15.0,298.9787985698564
16,16.0,303.4899161561897
17,17.0,299.0841646929975
18,18.0,298.20548118132643
19,19.0,302.53013247594265
20,20.0,302.43363600372845
21,21.0,299.39799163584814
22,22.0,302.6647098830767
23,23.0,303.0424618852013
24,24.0,304.1359388092969
25,25.0,299.44751245205475
26,26.0,299.64651657509853
27,27.0,304.4706201327313
28,28.0,298.74438523493063
29,29.0,301.05401553824026
30,,323.85593549422475
31,,323.30573350631136
32,,323.23524664611375
33,,324.5889826906648
34,,324.5004841458752
35,,326.9763956235648
36,,328.10882218213317
37,,329.50238074050833
38,,331.21703267160314
39,,328.6531788730523
40,,330.77852747094835
41,,334.9110068493999
42,,334.722365901359
43,,336.12415299062104
44,,335.42764992217207
45,,338.17342869463425
46,,341.1412005285725
47,,337.90032067586253
48,,337.9231692038892
49,,341.5375249255924
50,,344.034990894686
51,,343.3496037360014
52,,343.1470887634795
53,,346.7494501229122
54,,343.98673981866375
55,,349.4187920748082
56,,350.94602448819296
57,,348.8069229168369
58,,349.1352094055977
59,,351.03700063549684
